0182 01866 1|36812|60357|delta 3 CMi|113.56621998|3.37172438|7|34|15.8927952|+|3.0|22.0|18.207768|5.812|999
0182 02739 1|36641|59881|delta 1 CMi|113.02478384|1.91447711|7|32|5.9481216|+|1.0|54.0|52.117596|5.261|999
0182 02740 1|36723|60111|delta 2 CMi|113.29860853|3.29038161|7|33|11.6660472|+|3.0|17.0|25.373796|5.611|960
0183 01552 1|37478|||115.39648144|3.62477399|7|41|35.1555456|+|3.0|37.0|29.186364|5.936|999
0185 02499 1|38962|65345|14 CMi|119.58606168|2.22476425|7|58|20.6548032|+|2.0|13.0|29.1513|5.407|975
0190 01960 1|37031|||114.14461101|5.86216954|7|36|34.7066424|+|5.0|51.0|43.810344|5.956|999
0198 02137 1|39311|||120.56640053|2.33457164|8|2|15.9361272|+|2.0|20.0|4.457904|4.524|999
0201 02321 1|41299|||126.39807619|2.10221409|8|25|35.5382856|+|2.0|6.0|7.970724|5.889|999
0202 01740 1|39213|||120.30787812|4.87981838|8|1|13.8907488|+|4.0|52.0|47.346168|5.641|999
0215 02021 1|42799|74280|eta Hya|130.80614591|3.39866074|8|43|13.4750184|+|3.0|23.0|55.178664|4.248|999
0215 02022 1|42402|73471|sigma Hya|129.68932288|3.34143606|8|38|45.4374912|+|3.0|20.0|29.169816|4.577|999
0218 01350 1|42008|||128.4311634|4.75700324|8|33|43.479216|+|4.0|45.0|25.211664|5.986|999
0222 01709 1|42172A|||128.96240862|6.62022548|8|35|50.9780688|+|6.0|37.0|12.811728|5.983|101
0223 01795 1|42313|73262|delta Hya|129.41403201|5.70378462|8|37|39.3676824|+|5.0|42.0|13.624632|4.132|999
0224 01333 1|43109A|74874|epsilon A Hya|131.69386615|6.41877721|8|46|46.527876|+|6.0|25.0|7.597956|3.488|28
0224 01334 1|43234|75137|rho Hya|132.10820769|5.83781082|8|48|25.9698456|+|5.0|50.0|16.118952|4.332|999
0225 01116 1|43813|76294|zeta Hya|133.8484958|5.94550965|8|55|23.638992|+|5.0|56.0|43.83474|3.210|999
0227 02544 1|45336|79469|theta Hya|138.59111115|2.31427285|9|14|21.866676|+|2.0|18.0|51.38226|3.853|999
0232 02194 1|44406|||135.68673739|7.29826551|9|2|44.8169736|+|7.0|17.0|53.755836|5.953|999
