95937,183630,36 Aql,
95947A,183912,beta 1A Cyg,
95951,183914,beta 2 Cyg,
96052,184171,8 Cyg,
96229,184406,mu Aql,
96302,184759,9 Cyg,
96327,184492,37 Aql,
96387,185037,11 Cyg,
96441,185395,theta Cyg,
96468,184930,iota Aql,
96483,184915,kappa Aql,
96556,185124,42 Aql,
96665,185507,sigma Aql,
96683,185734,phi Cyg,
96693,185872,14 Cyg,
96807,185762,45 Aql,
96895,186408,16A Cyg,
96901,186427,16B Cyg,
96931,186122,46 Aql,
96957B,186203,chi B Aql,
96957A,186203,chi A Aql,
97118,186675,15 Cyg,
97139,186547,psi Aql,
97165B,186882,delta B Cyg,
97165A,186882,delta A Cyg,
97229,186689,upsilon Aql,
97278,186791,gamma Aql,
97295,187013,17 Cyg,
97473A,187259,pi A Aql,
97473B,187260,pi B Aql,
97629,187796,chi Cyg,
97630,187849,19 Cyg,
97635,188056,20 Cyg,
97650,187532,51 Aql,
97649,187642,alpha Aql,
97675,187691,omicron Aql,
97804,187929,eta Aql,
97870,188665,23 Cyg,
97928,188154,56 Aql,
97938,188310,xi Aql,
97966,188293,57A Aql,
97967,188294,57B Aql,
97980,188350,58 Aql,
98036,188512,beta Aql,
98055B,189037,psi B Cyg,
98055A,189037,psi A Cyg,
98068,188892,22 Cyg,
98103,188728,phi Aql,
98110,188947,eta Cyg,
98425,189687,25 Cyg,
98571,190147,26 Cyg,
98823,190327,tau Aql,
98844,190299,62 Aql,
99031,191026,27 Cyg,
99171,191067,64 Aql,
99255A,192907,kappa A Cep,
99303,191610,28 Cyg,
99473,191692,theta Aql,
99529,191753,xi 1 Cap,
99572,191862,xi 2 Cap,
99631,192107,66 Aql,
99639,192514,30 Cyg,
99655,192696,33 Cyg,
99675,192577,omicron 1A Cyg,
99676,192579,omicron 1C Cyg,
99742,192425,rho Aql,
99770,192640,29 Cyg,
99848,192909,omega 2 Cyg,
99918,192666,3 Cap,
100027,192876,alpha 1 Cap,
100062,192879,4 Cap,
100064,192947,alpha 2 Cap,
100108,193369,36 Cyg,
100122,193370,35 Cyg,
100195,193150,sigma Cap,
100310,193432,nu Cap,
100325A,193452,beta 2A Cap,
100325B,193452,beta 2B Cap,
100345,193495,beta 1 Cap,
100453,194093,gamma Cyg,
100587,194317,39 Cyg,
100859,195068,43 Cyg,
100881A,194636,pi A Cap,
100881B,194636,pi B Cap,
100907,195050,40 Cyg,
100977,194939,68 Aql,
101027A,194943,rho A Cap,
101067,195324,42 Cyg,
101076,195295,41 Cyg,
101093,195725,theta Cep,
101101,195135,69 Aql,
101120,195093,omicron B Cap,
101123,195094,omicron A Cap,
101138,195556,omega 1 Cyg,
101214A,195593,44A Cyg,
101214B,195593,44B Cyg,
101243,195774,omega 2 Cyg,
101474B,196093,47B Cyg,
101474A,196093,47A Cyg,
101692,196321,70 Aql,
101751,196348,13 Cap,
101765,196606,48 Cyg,
